vtype,average,median,density
DC_DOUBLECHECK,9.666666666666666,2.0,0.5
DP_CREATE_CLASSLOADER_INSIDE_DO_PRIVILEGED,2.0,2.0,0.5
EI_EXPOSE_REP,5.0,5.0,0.018518518518518517
EI_EXPOSE_REP2,11.5,11.5,0.031746031746031744
IS2_INCONSISTENT_SYNC,10.333333333333334,4.0,0.5
MS_SHOULD_BE_FINAL,6.0,6.0,0.046511627906976744
NP_GUARANTEED_DEREF,4.75,0.0,0.16
NP_LOAD_OF_KNOWN_NULL_VALUE,771.0,771.0,0.05263157894736842
NP_NULL_ON_SOME_PATH,19.0,19.0,0.05555555555555555
PZLA_PREFER_ZERO_LENGTH_ARRAYS,1.0,1.0,0.02830188679245283
RCN_REDUNDANT_NULLCHECK_WOULD_HAVE_BEEN_A_NPE,2.0,2.0,0.125
REC_CATCH_EXCEPTION,0.5,0.5,0.05128205128205128
SE_BAD_FIELD,2.0,2.0,0.1111111111111111
SE_BAD_FIELD_INNER_CLASS,1.0,1.0,0.06666666666666667
SE_INNER_CLASS,10.0,10.0,0.16666666666666666
SE_NO_SERIALVERSIONID,0.0,0.0,0.1111111111111111
SIC_INNER_SHOULD_BE_STATIC,4.083333333333333,3.0,0.04477611940298507
SIC_INNER_SHOULD_BE_STATIC_ANON,4.5,3.5,0.030534351145038167
SS_SHOULD_BE_STATIC,5.0,5.0,0.05
UC_USELESS_CONDITION,3.0,3.0,0.02702702702702703
UI_INHERITANCE_UNSAFE_GETRESOURCE,1.0,1.0,0.5
UPM_UNCALLED_PRIVATE_METHOD,0.0,0.0,0.5
URF_UNREAD_FIELD,2.5555555555555554,1.0,0.1836734693877551
UUF_UNUSED_FIELD,618.0,618.0,0.1
UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,1.0,1.0,0.03409090909090909
UWF_NULL_FIELD,5.0,5.0,0.037037037037037035
VA_FORMAT_STRING_BAD_CONVERSION_FROM_ARRAY,0.0,0.0,0.5
VA_FORMAT_STRING_EXTRA_ARGUMENTS_PASSED,13.5,13.5,0.4
MS_PKGPROTECT,0.0
DM_DEFAULT_ENCODING,0.0
WMI_WRONG_MAP_ITERATOR,0.0
URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,0.0
DM_FP_NUMBER_CTOR,0.0
DM_CONVERT_CASE,0.0
OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,0.0
OS_OPEN_STREAM,0.0
NP_NULL_PARAM_DEREF,0.0
DM_NUMBER_CTOR,0.0
OS_OPEN_STREAM_EXCEPTION_PATH,0.0
