vtype,average,above_average,below_average
all,1215.1664580725908,536,1062
DM_CONVERT_CASE,2918.153846153846,9,4
DM_DEFAULT_ENCODING,2662.5263157894738,44,13
DM_FP_NUMBER_CTOR,496.5,4,8
DM_NUMBER_CTOR,213.16666666666666,5,1
EI_EXPOSE_REP,2918.153846153846,36,16
EI_EXPOSE_REP2,2525.0491803278687,44,17
MS_PKGPROTECT,665.6153846153846,10,16
MS_SHOULD_BE_FINAL,577.7555555555556,126,144
NP_GUARANTEED_DEREF,25.41176470588235,12,90
NP_LOAD_OF_KNOWN_NULL_VALUE,2292.235294117647,11,6
NP_NULL_ON_SOME_PATH,482.8888888888889,7,11
NP_NULL_PARAM_DEREF,1604.7916666666667,11,13
OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,2918.153846153846,27,12
OS_OPEN_STREAM,2918.153846153846,9,4
OS_OPEN_STREAM_EXCEPTION_PATH,2918.153846153846,18,8
PZLA_PREFER_ZERO_LENGTH_ARRAYS,1488.9142857142858,45,60
RCN_REDUNDANT_NULLCHECK_WOULD_HAVE_BEEN_A_NPE,4.285714285714286,2,5
REC_CATCH_EXCEPTION,1453.7105263157894,13,25
SE_BAD_FIELD,252.55555555555554,2,7
SE_BAD_FIELD_INNER_CLASS,577.4666666666667,7,8
SE_INNER_CLASS,369.8333333333333,1,5
SE_NO_SERIALVERSIONID,567.7142857142857,3,4
SIC_INNER_SHOULD_BE_STATIC,555.2740213523132,126,155
SIC_INNER_SHOULD_BE_STATIC_ANON,1502.1908396946565,57,74
SS_SHOULD_BE_STATIC,495.6363636363636,16,28
UC_USELESS_CONDITION,1310.2777777777778,13,23
URF_UNREAD_FIELD,1413.3333333333333,12,21
URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,827.5,1,1
UUF_UNUSED_FIELD,496.875,3,5
UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,1848.987951807229,44,39
UWF_NULL_FIELD,617.75,14,14
VA_FORMAT_STRING_EXTRA_ARGUMENTS_PASSED,2.3333333333333335,2,1
WMI_WRONG_MAP_ITERATOR,2918.153846153846,18,8
